objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237651191894245486,129.017596598234,51.1324961272684,18.69063,16.74632,15.8356,15.39718,15.06036,1331,301,5,178,501152208683821056,GALAXY,0.07450037,445,51873,461
1237651191894835382,130.655123159532,52.141268087432,19.32937,17.95276,17.27908,16.90697,16.64891,1331,301,5,187,503351506884388864,GALAXY,0.05379145,447,51877,270
1237651191894441988,129.731985235605,51.3331718162926,18.25593,18.48202,18.96194,19.22257,19.5164,1331,301,5,181,8211310179490177024,STAR,5.643918E-06,7293,56741,444
1237651191894442021,129.755532708481,51.506455477876,16.72112,15.80978,16.13042,15.10204,15.03837,1331,301,5,181,501149734782658560,STAR,-0.0001108951,445,51873,452
1237651191894442201,129.582090954187,51.5312247447302,18.09958,17.14465,16.73213,16.4952,16.35898,1331,301,5,181,501150559416379392,GALAXY,0.01663235,445,51873,455
1237651191894573189,129.858231278606,51.6875323877929,17.35004,15.37892,14.48112,14.06412,13.75157,1331,301,5,183,501148360393123840,GALAXY,0.05452101,445,51873,447
1237651191894573261,130.046482439295,51.726793809185,17.96255,16.53688,15.85404,15.39625,15.18536,1331,301,5,183,501173924038469632,GALAXY,0.05482313,445,51873,540
1237651191894573362,129.945493777371,51.78079834885,19.15439,17.93306,17.51542,17.19731,17.04268,1331,301,5,183,501170900381493248,GALAXY,0.05690523,445,51873,529
1237651191894638704,130.281964353243,51.7454756874793,18.902,17.85245,17.39216,17.1138,16.99848,1331,301,5,184,501169525991958528,GALAXY,0.01632496,445,51873,524
1237651191894638737,130.261290589935,51.8000101276311,19.43548,17.83725,17.02829,16.6038,16.3049,1331,301,5,184,501169251114051584,GALAXY,0.09233115,445,51873,523
1237651191894638780,130.187856774679,51.8043678097109,19.59954,17.76476,16.96116,16.10659,15.72086,1331,301,5,184,501171175259400192,GALAXY,0.1668859,445,51873,530
1237651191894638784,130.076538993092,51.8745813285228,19.31803,17.34961,16.40038,15.95168,15.62776,1331,301,5,184,501169800869865472,GALAXY,0.09709851,445,51873,525
1237651191894704136,130.304883077471,51.8284308269053,18.38516,17.45364,17.19361,17.09185,17.05777,1331,301,5,185,5806376969634291712,STAR,-0.0007895331,5157,55923,404
1237651191894704225,130.316341936537,51.9632203793155,18.66418,17.71863,17.39224,17.27277,17.23919,1331,301,5,185,5806373121343594496,STAR,0.00063969,5157,55923,390
1237651191894900821,130.854120711304,52.1223210725921,19.37609,18.14223,17.8244,17.70028,17.65668,1331,301,5,188,8211273345850646528,STAR,-0.0002011514,7293,56741,310
1237651191894900854,130.855506723653,52.2153871201066,19.34874,18.29857,17.84872,17.65502,17.5836,1331,301,5,188,503386141500663808,STAR,0.0001037126,447,51877,396
1237651191895228485,131.787978821322,52.7693302839014,18.74047,17.21618,16.49405,16.05667,15.7367,1331,301,5,193,503388340523919360,GALAXY,0.04559714,447,51877,404
1237651191895228533,131.562454735674,52.75571209083,19.423,17.60292,16.74031,16.32036,15.99984,1331,301,5,193,503391364180895744,GALAXY,0.07235116,447,51877,415
1237651191895031932,131.231177526084,52.4841493452187,17.1084,15.04122,14.13933,13.65497,13.28216,1331,301,5,190,503395762227406848,GALAXY,0.04070729,447,51877,431
1237651191895032016,131.202310106868,52.3522313458885,19.51075,17.71912,16.93456,16.55546,16.27913,1331,301,5,190,503397136616941568,GALAXY,0.05273592,447,51877,436
1237651191895032030,131.090300542307,52.4526139677882,18.82656,17.82686,17.55809,17.36791,17.24067,1331,301,5,190,503385591744849920,GALAXY,0.05659398,447,51877,394
1237651191895032044,131.250639023182,52.3937418527294,18.25508,16.94366,16.48949,16.18109,15.99247,1331,301,5,190,503398236128569344,GALAXY,0.05348566,447,51877,440
1237651191895228597,131.68174836833,52.8104830028203,19.17954,19.15191,19.22446,18.84201,18.913,1331,301,5,193,503387790768105472,QSO,1.796306,447,51877,402
1237651191895097515,131.292124972893,52.4808851697389,18.73536,17.77329,17.43149,17.09311,17.0004,1331,301,5,191,503396586861127680,GALAXY,0.09476572,447,51877,434
1237651191895293969,131.697126684047,52.9086993191639,18.96784,17.67998,17.68818,17.71858,17.74065,1331,301,5,194,8211420130652954624,STAR,-0.0006500753,7293,56741,844
1237651191895294124,131.836308669764,52.8342702624765,19.32601,19.23701,19.11742,18.87307,18.86914,1331,301,5,194,503392188814616576,QSO,1.699942,447,51877,418
1237651191895294159,131.940366424289,52.8322903458265,18.81755,17.36366,16.82431,16.46269,16.20887,1331,301,5,194,503402909052987392,GALAXY,0.05147067,447,51877,457
1237651191894769899,130.57075356271,52.0709580884403,19.55875,17.92407,17.10692,16.69993,16.42053,1331,301,5,186,503353156151830528,GALAXY,0.05612495,447,51877,276
